1;火球术;1;1;4;8;8;1;2;2;1;7;20;11;100;16;300;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
2;治愈术;2;2;7;14;28;0;0;0;2;7;20;11;100;16;300;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
3;基本剑术;0;0;0;0;0;0;0;0;0;7;20;11;200;16;500;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
4;精神力战法;0;0;0;0;0;0;0;0;2;9;20;13;200;19;300;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
5;大火球;1;3;3;6;6;5;10;10;1;19;80;23;100;25;300;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
6;施毒术;2;4;20;0;0;0;0;0;2;14;100;45;3000;48;5000;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
7;攻杀剑术;0;5;0;0;0;0;0;0;0;19;100;22;500;24;1000;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
8;抗拒火环;4;6;8;1;1;0;0;0;1;12;20;15;100;19;500;30;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
9;地狱火;5;7;10;14;14;10;6;6;1;16;50;21;100;26;300;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
10;疾光电影;6;8;30;12;20;30;12;12;1;26;100;29;500;32;1000;100;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
11;雷电术;7;9;12;8;28;6;9;9;1;17;100;20;500;23;1000;100;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
12;刺杀剑术;0;13;0;0;0;0;0;0;0;25;150;27;400;29;1000;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
13;灵魂火符;8;10;5;8;24;2;3;3;2;18;150;21;400;24;1000;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
14;幽灵盾;9;11;15;0;0;0;0;0;2;22;200;24;500;26;800;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
15;神圣战甲术;9;12;15;0;0;0;0;0;2;25;200;27;500;29;800;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
16;困魔咒;10;14;10;0;0;5;0;0;2;28;100;30;500;32;1000;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
17;召唤骷髅;4;15;16;0;0;8;0;0;2;19;100;23;200;26;300;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
17;法神骷髅;4;15;16;0;0;8;0;0;1;36;400;38;800;40;1200;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
18;隐身术;4;16;5;0;0;0;0;0;2;20;100;23;200;26;300;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
19;集体隐身术;8;17;10;0;0;0;0;0;2;21;100;25;300;29;500;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
20;诱惑之光;2;18;3;3;3;3;0;0;1;13;50;18;200;24;500;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
20;圣战诱惑;2;18;3;3;3;3;0;0;0;36;500;38;1000;40;1500;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
21;瞬息移动;4;19;10;0;0;8;0;0;1;19;100;22;200;25;400;50;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
22;火墙;4;20;20;3;3;25;3;3;1;24;200;29;500;33;1000;120;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
23;爆裂火焰;2;21;15;8;8;10;6;6;1;22;100;27;200;31;600;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
24;地狱雷光;4;22;35;10;30;20;10;30;1;30;200;32;500;34;1000;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
25;半月弯刀;0;23;0;0;0;3;0;0;0;28;500;31;1000;34;1500;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
26;烈火剑法;0;24;0;0;0;7;0;0;0;35;300;37;600;40;1000;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
26;天尊剑术;0;24;0;0;0;7;0;0;2;40;500;42;1000;44;1500;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
27;野蛮冲撞;0;25;15;0;0;0;0;0;0;30;100;34;300;39;800;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
28;心灵启示;2;26;16;0;0;0;0;0;2;26;100;30;200;35;300;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
29;群体治疗术;2;27;12;10;20;25;4;4;2;33;200;35;500;38;1000;40;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
30;召唤神兽;4;28;16;0;0;24;0;0;2;35;500;37;1000;40;1500;120;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
31;魔法盾;4;29;20;0;0;30;0;0;1;31;500;34;1000;38;1500;0;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
32;圣言术;2;30;50;0;0;40;0;0;1;32;200;35;600;39;1000;120;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
33;冰咆哮;2;31;12;12;12;30;14;14;1;35;500;37;1000;40;1500;60;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
34;解毒术;2;26;36;0;0;0;0;0;2;40;200;43;600;45;1000;120;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
36;火焰冰;2;21;100;15;35;30;14;14;1;40;1000;43;2000;45;3000;600;;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;20;200;3;
