鸡;51;11;160;5;0;0;125;5;0;0;0;1;1;0;0;10;3;1400;1;0;3000;
鹿;52;11;161;12;0;0;375;25;0;0;0;2;4;0;0;7;4;1400;1;0;3000;
鹿1;97;11;161;50;0;100;2500;1200;0;35;35;0;100;0;0;17;20;600;1;0;1500;
半兽人;83;19;100;15;0;0;625;30;0;1;0;4;9;0;0;15;6;1500;1;0;2500;
半兽人0;83;19;100;20;0;0;625;30;0;1;0;4;9;0;0;15;7;1500;1;0;2500;
半兽战士;81;19;101;22;0;0;2250;100;0;3;1;5;12;0;0;15;9;1500;1;0;2000;
半兽战士0;81;19;101;22;0;0;2250;100;0;3;1;5;12;0;0;15;11;1500;1;0;2000;
半兽勇士;81;19;102;28;0;100;7500;300;0;0;0;15;32;0;0;15;10;1500;1;0;1500;
半兽勇士1;81;19;102;50;0;100;7500;900;0;100;0;0;80;0;0;17;20;600;1;0;1800;
半兽勇士2;81;19;102;50;0;100;2500;300;0;20;25;0;20;0;0;17;20;600;1;0;2000;
半兽勇士10;81;19;102;50;0;100;7500;300;0;0;0;0;80;0;0;15;13;1500;1;0;1500;
毒蜘蛛;82;19;163;16;0;0;1050;42;0;2;1;6;9;0;0;15;5;900;1;0;2500;
卫士;11;12;0;99;0;100;25;9999;0;100;100;200;200;200;200;200;200;500;1;0;4000;
蛤蟆;83;19;162;12;0;0;375;20;0;0;0;0;5;0;0;13;6;1500;1;0;2500;
蛤蟆0;83;19;162;12;0;0;375;20;0;0;0;0;5;0;0;13;8;1500;1;0;2500;
蝎子;84;32;83;18;0;0;1125;45;0;2;0;7;16;0;0;15;9;1200;1;0;2500;
山洞蝙蝠;81;19;80;20;0;0;625;25;0;2;0;4;6;0;0;25;10;1200;1;0;2500;
山洞蝙蝠0;81;19;80;20;0;0;625;25;0;2;0;4;6;0;0;25;11;1200;1;0;2500;
森林雪人;83;10;1;16;0;0;750;36;0;2;0;7;10;0;0;12;6;1500;1;0;2500;
森林雪人0;83;10;1;16;0;0;750;36;0;2;0;7;10;0;0;12;6;1500;1;0;2500;
食人花;85;13;10;20;0;0;700;28;0;2;0;6;9;0;0;14;9;1500;1;0;2500;
骷髅;86;14;20;18;1;0;2125;90;0;0;0;7;10;0;0;13;8;1500;1;0;2500;
骷髅0;86;14;20;18;1;0;2125;90;0;0;0;7;10;0;0;13;8;1500;1;0;2500;
掷斧骷髅;87;15;21;18;1;0;2250;100;0;0;0;4;9;0;0;12;9;1500;1;0;2500;
掷斧骷髅0;87;15;21;18;1;0;2250;100;0;0;0;4;9;0;0;12;9;1500;1;0;2500;
掷斧骷髅9;87;15;21;18;1;0;2250;100;0;0;0;10;20;0;0;12;9;1000;1;0;1500;
骷髅战士;88;14;22;19;1;0;2375;105;0;0;0;2;15;0;0;13;9;1500;1;0;2500;
骷髅战士0;88;14;22;19;1;0;2375;105;0;0;0;2;15;0;0;13;9;1500;1;0;2500;
骷髅战将;89;14;23;20;1;0;2500;110;0;2;1;7;13;0;0;15;9;1200;1;0;2300;
