1/1	0:02:16
1/1	0:07:16
1/1	0:12:16
1/1	0:17:16
1/1	0:22:16
1/1	0:27:16
1/1	0:32:16
1/1	0:37:16
1/1	0:42:16
1/1	0:47:16
1/1	0:52:16
1/1	0:57:16
1/1	1:02:16
1/1	1:07:16
1/1	1:12:16
1/1	1:17:16
1/1	1:22:16
1/1	1:27:16
1/1	1:32:16
1/1	1:37:16
1/1	1:42:16
1/1	1:47:16
1/1	1:52:16
1/1	1:57:16
1/1	2:02:16
1/1	2:07:16
1/1	2:12:16
1/1	2:17:16
1/1	2:22:16
1/1	2:27:16
1/1	2:32:16
1/1	2:37:16
1/1	2:42:16
1/1	2:47:16
1/1	2:52:16
1/1	2:57:16
1/1	3:02:16
1/1	3:07:16
1/1	3:12:16
1/1	3:17:16
1/1	3:22:16
1/1	3:27:16
1/1	3:32:16
1/1	3:37:16
1/1	3:42:16
1/1	3:47:16
1/1	3:52:16
1/1	3:57:16
1/1	4:02:16
1/1	4:07:16
1/1	4:12:16
1/1	4:17:16
1/1	4:22:16
1/1	4:27:16
1/1	4:32:16
1/1	4:37:16
1/1	4:42:16
1/1	4:47:16
1/1	4:52:16
1/1	4:57:16
1/1	5:02:16
1/1	5:07:16
1/1	5:12:16
1/1	5:17:16
1/1	5:22:16
1/1	5:27:16
1/1	5:32:16
1/1	5:37:16
1/1	5:42:16
1/1	5:47:16
1/1	5:52:16
1/1	5:57:16
1/1	6:02:16
1/1	6:07:16
1/1	6:12:16
1/1	6:17:16
1/1	6:22:16
1/1	6:27:16
1/1	6:32:16
1/1	6:37:16
1/1	6:42:16
1/1	6:47:16
1/1	6:52:16
1/1	6:57:16
1/1	7:02:16
1/1	7:07:16
1/1	7:12:16
1/1	7:17:16
1/1	7:22:16
1/1	7:27:16
1/1	7:32:16
1/1	7:37:16
1/1	7:42:16
1/1	7:47:16
1/1	7:52:16
1/1	7:57:16
1/1	8:02:16
1/1	8:07:16
1/1	8:12:16
1/1	8:17:16
1/1	8:22:16
1/1	8:27:16
1/1	8:32:16
1/1	8:37:16
1/1	8:42:16
1/1	8:47:16
1/1	8:52:16
1/1	8:57:16
1/1	9:02:16
1/1	9:07:16
1/1	9:12:16
1/1	9:17:16
1/1	9:22:16
1/1	9:27:16
1/1	9:32:16
1/1	9:37:16
1/1	9:42:16
1/1	9:47:16
1/1	9:52:16
1/1	9:57:16
1/1	10:02:16
1/1	10:07:16
1/1	10:12:16
1/1	10:17:16
1/1	10:22:16
1/1	10:27:16
1/1	10:32:16
1/1	10:37:16
1/1	10:42:16
1/1	10:47:16
1/1	10:52:16
1/1	10:57:16
1/1	11:02:16
1/1	11:07:16
1/1	11:12:16
1/1	11:17:16
1/1	11:22:16
1/1	11:27:16
1/1	11:32:16
1/1	11:37:16
1/1	11:42:16
1/1	11:47:16
1/1	11:52:16
1/1	11:57:16
1/1	12:02:16
1/1	12:07:16
1/1	12:12:16
1/1	12:17:16
1/1	12:22:16
1/1	12:27:16
1/1	12:32:16
1/1	12:37:16
1/1	12:42:16
1/1	12:47:16
1/1	12:52:16
1/1	12:57:16
1/1	13:02:16
1/1	13:07:16
1/1	13:12:16
1/1	13:17:16
1/1	13:22:16
1/1	13:27:16
1/1	13:32:16
1/1	13:37:16
1/1	13:42:16
1/1	13:47:16
1/1	13:52:16
1/1	13:57:16
1/1	14:02:16
1/1	14:07:16
1/1	14:12:16
1/1	14:17:16
1/1	14:22:16
1/1	14:27:16
1/1	14:32:16
1/1	14:37:16
1/1	14:42:16
1/1	14:47:16
1/1	14:52:16
1/1	14:57:16
1/1	15:02:16
1/1	15:07:16
1/1	15:12:16
1/1	15:17:16
1/1	15:22:16
1/1	15:27:16
1/1	15:32:16
1/1	15:37:16
1/1	15:42:16
1/1	15:47:16
1/1	15:52:16
1/1	15:57:16
1/1	16:02:16
1/1	16:07:16
1/1	16:12:16
1/1	16:17:16
1/1	16:22:16
1/1	16:27:16
1/1	16:32:16
1/1	16:37:16
1/1	16:42:16
1/1	16:47:16
1/1	16:52:16
1/1	16:57:16
1/1	17:02:16
1/1	17:07:16
1/1	17:12:16
1/1	17:17:16
1/1	17:22:16
1/1	17:27:16
1/1	17:32:16
1/1	17:37:16
1/1	17:42:16
1/1	17:47:16
1/1	17:52:16
1/1	17:57:16
1/1	18:02:16
1/1	18:07:16
1/1	18:12:16
1/1	18:17:16
1/1	18:22:16
1/1	18:27:16
1/1	18:32:16
1/1	18:37:16
1/1	18:42:15
1/1	18:47:15
1/1	18:52:15
1/1	18:57:15
1/1	19:02:15
1/1	19:07:15
1/1	19:12:15
1/1	19:17:15
1/1	19:22:15
1/1	19:27:15
1/1	19:32:15
1/1	19:37:15
1/1	19:42:15
1/1	19:47:15
1/1	19:52:15
1/1	19:57:15
1/1	20:02:15
1/1	20:07:15
1/1	20:12:15
1/1	20:17:15
1/1	20:22:15
1/1	20:27:15
1/1	20:32:15
1/1	20:37:15
1/1	20:42:15
1/1	20:47:15
1/1	20:52:15
1/1	20:57:15
1/1	21:02:15
1/1	21:07:15
1/1	21:12:15
1/1	21:17:15
1/1	21:22:15
1/1	21:27:15
1/1	21:32:15
1/1	21:37:15
1/1	21:42:15
1/1	21:47:15
1/1	21:52:15
1/1	21:57:15
1/1	22:02:15
1/1	22:07:15
1/1	22:12:15
1/1	22:17:15
1/1	22:22:15
1/1	22:27:15
1/1	22:32:15
1/1	22:37:15
1/1	22:42:15
1/1	22:47:15
1/1	22:52:15
1/1	22:57:15
1/1	23:02:15
1/1	23:07:15
1/1	23:12:15
1/1	23:17:15
1/1	23:22:15
1/1	23:27:15
1/1	23:32:15
1/1	23:37:15
1/1	23:42:15
1/1	23:47:15
1/1	23:52:15
1/1	23:57:15
