1/1	13:45:31
1/1	13:50:31
1/1	13:55:31
1/1	14:00:31
1/1	14:05:31
1/1	14:10:31
1/1	14:15:31
1/1	14:20:31
1/1	14:25:31
0/1	14:30:31
0/0	14:35:31
0/0	14:40:31
0/0	19:14:21
1/1	19:19:21
1/1	19:24:21
1/1	19:29:21
1/1	19:34:21
1/1	19:39:21
1/1	19:44:21
1/1	19:49:21
1/1	19:54:21
1/1	19:59:21
1/1	20:04:21
1/1	20:09:21
1/1	20:14:21
1/1	20:19:21
0/1	20:24:21
0/0	20:29:21
0/0	20:34:21
0/0	20:39:21
0/0	20:44:21
0/0	20:49:21
0/0	20:54:21
0/0	20:59:21
0/0	21:04:21
0/0	21:09:21
0/0	21:14:21
0/0	21:19:21
0/0	21:24:21
0/0	21:29:21
0/0	21:34:21
0/0	21:39:21
0/0	21:44:21
0/0	21:49:21
1/1	21:54:21
1/1	21:59:21
1/1	22:04:21
