1;火球术;1;1;4;8;8;1;2;2;1;7;500;11;1500;16;3000;60;;
2;治愈术;2;2;7;14;20;0;0;0;2;7;500;11;1500;16;3000;40;;
3;基本剑术;0;0;0;0;0;0;0;0;0;7;1000;11;4000;16;8000;0;;
4;精神力战法;0;0;0;0;0;0;0;0;2;9;1000;13;4000;19;8000;0;;
5;大火球;1;3;3;6;6;5;10;10;1;19;8000;23;14000;25;25000;60;;
6;施毒术;2;4;4;0;0;0;0;0;2;14;1000;17;2000;20;4000;40;;
7;攻杀剑术;0;5;0;0;0;0;0;0;0;19;4000;22;8000;24;16000;0;;
8;抗拒火环;4;6;8;1;1;0;0;0;1;12;800;15;2400;19;4000;30;;
9;地狱火;5;7;10;14;14;10;6;6;1;16;1000;21;4000;26;8000;60;;
10;疾光电影;6;8;30;12;12;30;12;12;1;26;3000;29;6000;32;12000;100;;
11;雷电术;7;9;12;14;30;6;10;12;1;17;1200;20;3000;23;5000;100;;
12;刺杀剑术;0;13;0;0;0;0;0;0;0;25;6000;27;12000;29;18000;0;;
13;灵魂火符;8;10;5;8;10;2;3;3;2;18;2000;21;4000;24;6000;60;;
14;幽灵盾;9;11;15;0;0;0;0;0;2;22;5000;24;10000;26;15000;40;;
15;神圣战甲术;9;12;15;0;0;0;0;0;2;25;5000;27;10000;29;15000;40;;
16;困魔咒;10;14;10;0;0;5;0;0;2;28;3000;30;6000;32;12000;50;;
17;召唤骷髅;4;15;16;0;0;8;0;0;2;19;2000;23;4000;26;8000;50;;
18;隐身术;4;16;5;0;0;0;0;0;2;20;3000;23;6000;26;9000;50;;
19;集体隐身术;8;17;10;0;0;0;0;0;2;21;2000;25;4000;29;8000;50;;
20;诱惑之光;2;18;3;3;3;3;0;0;1;13;1000;18;2000;24;4000;60;;
21;瞬息移动;4;19;10;0;0;8;0;0;1;19;1000;22;2000;25;4000;50;;
22;火墙;4;20;20;3;3;25;3;3;1;24;4000;29;12000;33;24000;120;;
23;爆裂火焰;2;21;15;8;8;10;6;6;1;22;3000;27;6000;31;18000;60;;
24;地狱雷光;4;22;35;10;30;20;10;30;1;30;4000;32;8000;34;12000;60;;
25;半月弯刀;0;23;0;0;0;3;0;0;0;28;8000;31;16000;34;24000;0;;
26;烈火剑法;0;24;0;0;0;7;0;0;0;35;2000;37;4000;40;6000;0;;
27;野蛮冲撞;0;25;15;0;0;0;0;0;0;30;3000;34;6000;39;9000;0;;
28;心灵启示;2;26;16;0;0;0;0;0;2;26;4000;30;8000;35;12000;40;;
29;群体治愈术;2;27;12;10;10;30;4;4;2;33;4000;35;8000;38;12000;40;;
30;召唤神兽;4;28;16;0;0;24;0;0;2;35;2000;37;4000;40;8000;120;;
31;魔法盾;4;29;20;0;0;30;0;0;1;31;4000;34;8000;38;12000;0;;
32;圣言术;2;30;50;0;0;40;0;0;1;32;4000;35;8000;39;12000;120;;
33;冰咆哮;2;31;12;12;14;30;14;14;1;35;4000;37;8000;40;12000;60;;
