0;职业介绍信;41;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;金创药(小量);0;0;1;102;0;0;398;1;20;0;0;0;0;0;0;0;0;0;0;0;80;200;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;魔法药(小量);0;0;1;103;0;0;394;1;0;0;30;0;0;0;0;0;0;0;0;0;80;200;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;肉;40;0;3;0;0;0;1;10000;0;0;0;0;0;0;0;0;0;0;0;0;182;10000;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;布衣(男);10;1;5;0;0;0;60;5000;2;2;0;1;0;0;0;0;0;0;0;1;120;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;布衣(女);11;1;5;0;0;0;80;5000;2;2;0;1;0;0;0;0;0;0;0;1;120;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;木剑;5;1;7;0;0;0;30;4000;0;0;0;0;2;5;0;0;0;0;0;1;50;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;铁剑;5;2;10;0;0;0;36;10000;0;0;0;0;5;9;0;0;0;0;0;10;1200;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;青铜剑;5;2;9;0;0;0;31;6000;0;0;0;0;3;7;0;0;0;0;0;5;900;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;轻型盔甲(男);10;2;8;0;0;0;61;8000;3;3;1;2;0;0;0;0;0;0;0;11;3000;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;轻型盔甲(女);11;2;8;0;0;0;81;8000;3;3;1;2;0;0;0;0;0;0;0;11;3000;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;干肉;1;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;10;10000;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;药;2;0;1;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;8;10000;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;凝霜;5;13;20;0;0;0;45;20000;0;0;0;0;10;13;0;0;0;0;0;25;8000;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;火球术;4;1;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;治愈术;4;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;基本剑术;4;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;蜡烛;30;0;1;0;0;0;130;8000;0;0;0;0;0;0;0;0;0;0;0;0;10;10000;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;短剑;5;4;9;0;0;0;33;8000;0;0;0;0;3;11;0;0;0;0;0;10;909;100;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;精神力战法;4;2;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;500;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;青铜斧;5;3;10;0;0;0;32;10000;0;0;0;0;0;15;0;0;0;0;0;13;1364;50;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
